"Country","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Algeria",0.017,0.015,0.015,0.012,0.021,0.025,0.031,0.029,0.031,0.036,0.04,0.038,0.034,0.038,0.037,0.033,0.033,0.028,0.026,0.029,0.03,0.038,0.035,0.043,0.045,0.05,0.054
"Libya",,,,,,,,,,0.041,0.053,0.038,0.031,0.027,0.022,0.019,0.019,0.014,0.01,0.009,0.012,,,,0.033,,0.062
"Morocco",0.041,0.044,0.041,0.041,0.043,0.047,0.045,0.043,0.039,0.042,0.036,0.03,0.023,0.039,0.036,0.037,0.034,0.034,0.033,0.032,0.033,0.034,0.035,0.034,0.035,0.039,0.037
"Tunisia",0.023,0.023,0.02,0.02,0.019,0.019,0.019,0.019,0.02,0.019,0.018,0.017,0.018,0.017,0.017,0.017,0.016,0.015,0.014,0.013,0.013,0.013,0.013,0.015,0.015,0.016,0.018
"Angola",,,,,0.057,0.174,0.057,0.047,0.024,0.06,0.026,0.173,0.064,0.045,0.038,0.048,0.041,0.045,0.044,0.034,0.037,0.043,0.042,0.035,0.036,0.049,0.052
"Benin",0.023,0.019,0.017,,,,,,,,,0.007,0.006,0.005,0.009,0.01,0.01,0.01,0.01,,0.01,,,,0.01,0.01,0.01
"Botswana",0.049,0.036,0.044,0.046,0.045,0.049,0.04,0.035,0.029,0.031,0.034,0.029,0.033,0.035,0.037,0.037,0.031,0.029,0.027,0.028,0.03,0.033,0.025,0.024,0.023,0.02,0.02
"Burkina Faso",0.023,0.027,0.027,0.022,0.02,0.019,0.014,0.014,0.013,0.014,0.013,0.014,0.014,0.013,0.013,0.012,0.013,0.014,0.014,0.018,0.015,0.015,0.014,0.014,0.014,0.014,0.013
"Burundi",0.031,0.033,0.034,0.038,0.036,0.037,0.039,0.042,0.059,0.064,0.066,0.063,0.06,0.08,0.072,0.073,0.066,0.044,0.035,0.034,0.027,,,,0.023,0.022,0.02
"Cameroon",0.013,0.013,0.015,0.015,0.015,0.013,0.013,0.013,0.012,0.013,0.014,0.014,0.013,0.013,0.013,0.014,0.014,0.013,0.014,0.015,0.015,0.015,0.015,0.013,0.013,0.013,0.013
