"Country","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Algeria",41.3,33.4,34.5,21,38.3,45.3,46.4,42.1,48.7,57.7,62,58.4,59.3,65.1,64.5,66.9,83.7,86.1,89.7,112,145,145,153,229,242,265,297
"Libya",,,,,,,,,,254,288,226,210,156,84.7,99.8,124,124,108,111,187,,,,485,,524
"Morocco",38.6,40.9,43.4,45.7,48,48.1,51.7,53.6,53.1,50.7,51.6,41.6,29.9,50.7,50.3,61.5,64.9,67.4,70.2,78.5,95.1,97.7,99.9,104,105,123,121
"Tunisia",29.6,29.4,30.4,31.3,34.1,31.9,33.7,38.3,43.7,38.9,39.2,37.8,34.8,34.7,35.3,41.4,44.8,46.7,49.1,48,56,54.1,54.1,67,63.2,69.8,81.6
"Angola",150.1,192.9,168.2,97.1,72.3,155.4,50.7,19.3,12.8,35.7,13,78.9,41.9,28.1,29.5,43.4,51.2,82.5,115,115,173,175,179,180,199,284,310
"Benin",7.9,5.9,6.6,,,,,,,,,2.6,2.1,1.8,3.5,4.5,5.3,5.5,5.5,,7.2,,,,7.8,8.3,8.8
"Botswana",71.9,76.5,113,121,121,123,110,105,86.7,96.8,107,98.3,105,118,124,164,169,151,144,160,172,169,177,186,166,148,152
"Burkina Faso",6.8,7.8,9.6,7.7,7.6,6.3,3.1,3.7,3.6,3.6,3.6,3.7,3.2,3.1,3.5,4,5,5.5,5.3,7.6,8.4,8.4,8,8.7,8.8,9.6,9.5
"Burundi",6.5,7,7.1,7.4,6.6,6,6.9,6.8,8.1,9.7,9.1,7.7,6.3,7.8,6.4,6,6,6.4,5.6,5.6,5.1,,,,6,6,5.9
"Cameroon",13.6,12.5,15,14.3,14.4,12.8,7,8.2,8.2,8.1,9.1,9.3,7.7,7.6,8.7,10.9,12.5,12.3,13.8,15.5,17.7,17.1,17.2,16.4,16.3,17.7,17.6
"Cape Verde",14.8,,,,9.6,7.2,8.8,15.5,10.4,9.8,10.6,11.5,15.4,10.3,9.8,12.4,13.6,14.5,14.5,16.4,17.7,17.3,17,18.2,17,19.1,21.7
"Central African Rep.",,,,7.2,7.6,6.1,3.3,4,3.6,,,,,,2.8,3.9,3.9,3.9,,4.7,7.5,8.4,11.9,,,,
"Chad",14,9.8,5.8,,5.6,6,3.3,2.9,3.4,2.2,2.1,2.6,2.6,3,3.8,4.4,5.2,5.5,21.5,36.4,55.4,65,52.5,50.5,,,
"Congo",,,,,3.3,2.8,,,,,,,,1.1,1.4,1.8,2.4,1.9,2.3,2.9,3.5,,3.5,,,5.4,10.2
"Congo, Dem. Rep.",,,,,,,,,31.9,29.1,9,49,42.5,,,23.4,39.9,46.6,56.2,54.6,41.3,30.6,44.7,56.5,92.6,96.4,99.2
"Côte d’Ivoire",11.3,11.1,11.9,11.5,12.1,11.1,6.1,,7,6.2,,,,,,12.6,14.6,14.4,15.1,18,20.2,22.6,20.4,18.4,20.5,,
"Djibouti",59.2,55.5,52.7,51.9,53.4,48.4,47,44.6,36.3,38.6,38.2,37.6,36,35.5,44.7,55.3,48.8,57.7,62.9,43.2,44.8,,,,,,
"Equatorial Guinea",,,,,,,5.6,7.8,,,,,,,,,,,,307,445,549,,,,,208
"Eritrea",,,,,,32.2,23.8,36.7,43.8,26.1,71.7,71.9,58.6,40.6,35.2,40.6,,,,,,,,,,,
"Ethiopia",12.8,15.7,15.3,10,4.7,3.1,2.7,2.1,2.2,3.7,7.4,11,9.4,5.1,4.1,3.9,4.2,4.5,4.4,4.5,4.7,4,3.5,3.7,4,3.7,4.1
"Gabon",,,,,,,,,,,,,74.5,71.7,73.7,82.4,91.3,82.5,78.5,85.1,,,80.4,,154,152,
"Gambia",2.6,3.1,3.8,4.2,3.6,2.5,2.2,2.7,3.6,3.7,3.5,2.9,2.7,1.9,1.7,1.5,1.4,2.1,1.9,3,10.9,4.4,,,6.2,5.6,7.4
"Ghana",1.6,1.6,1.9,2.8,2.7,2.6,2.3,2.9,2.6,2.6,3.2,3.2,2.7,1.7,1.9,2.6,2.7,3,3.5,5.6,4.9,5,5,9.4,13.3,9.8,6.9
"Guinea",,,,11.3,8.3,6.2,6.1,,,5.3,5.3,6.4,5.3,9.9,10.8,9.1,8.6,,,,,,,,14.8,16.4,21.3
"Guinea-Bissau",,4.4,,,,,1.8,1.9,1.6,1.5,2.4,,7.5,4.7,4.8,5.5,,8.5,,,,8.9,10.8,10.8,10,,
"Kenya",11.5,10.1,10.5,7.9,6.2,4.1,4.4,5.4,6.1,6.1,5.8,5,5.3,6.1,6.5,7.3,7.5,8.9,10.2,13.1,15,14.5,15.2,15.4,19.5,19.4,18
"Lesotho",12.5,16.5,17.3,15.9,14.5,12.9,15,19.6,15.9,15.9,15.3,18.5,16.5,12.5,10.4,14.4,16.4,17.5,18.2,20.4,13.9,23.8,35.2,28.7,26,23.1,22.7
"Liberia",11.5,,6.7,12.1,11.2,15.2,19.5,,,,,,,,,,1,2.5,1.2,1,1.1,1.9,2.1,3.3,3.5,3.6,3.6
"Madagascar",3,2.7,3.3,2.9,1.9,3,2.1,2,3.6,3.7,3.4,3,3,4,3.5,4.2,3.1,3,2.9,4.2,5.2,3.5,2.7,3.3,3.1,3.2,3.1
"Malawi",2.3,2.5,2.6,2.5,2.6,2.6,1.7,1.1,2,2.5,1.4,1.3,1,1.1,1.2,1.1,1.7,3,2.3,2.5,3.1,4,3.3,3.4,3.1,4.2,3.1
"Mali",6.2,5.9,6.5,,,5.2,3.4,4.5,4.3,4.3,4.2,4.4,4.3,4.2,4.5,6,6.7,7.2,7.8,8.7,10.9,10.7,10.5,11.2,10,10.1,10.8
"Mauritania",22.4,19.7,19.9,18.9,18.4,13.7,13,13.7,15.8,16.8,10,12.2,14,18.6,12.6,21.1,,21.2,25.3,,36,32.7,,,37.5,37.1,37.6
"Mauritius",4.5,6,8.7,9.8,10.5,9.8,10.7,12,11.4,8.5,7.3,7.7,7.9,7.5,7.9,8.9,8.9,8.8,8.6,9.2,12.3,12,11.6,13.6,12.9,17.9,27.4
"Mozambique",4.8,5.9,6.2,5.2,4.2,4,4.7,2.1,2.2,2.5,2.8,3.2,3,2.7,2.8,3,3.8,3,2.7,3.1,3.7,3.6,4.1,4.8,5.5,6.1,6.6
"Namibia",,,140.1,98.7,82.3,45,35.5,41.3,39,47.6,43.6,57,48.7,50.1,44.9,65.3,83.4,94.8,97.2,110,126,140,182,200,182,172,238
"Niger",,,,,,,2,2,1.8,1.8,2.2,2.2,1.8,2.2,1.7,2,2.5,2.5,,,3.6,3.5,4.2,5.1,4.1,,
"Nigeria",3,1.8,2.9,2.5,1.7,2.8,3,5.9,6.3,7.2,9.8,4.1,3,4.5,6.9,4.4,4.7,4.8,5.4,6.6,10.7,9.7,12.5,14.5,13.7,13.9,12.7
"Rwanda",5.2,5.8,13.2,15.1,13.5,14.7,7.1,10,12.4,11.9,12.1,10.3,7.3,6.5,5.7,5,4.5,4.8,5.6,5.6,6.6,7.1,6.9,6.8,7,7,7.1
"Senegal",14.1,13.1,15.3,13.7,13.7,14.6,7.8,9.3,8.9,7.7,8,8.1,6.3,6.8,7.2,9.1,9.8,11,12.8,16.2,17.7,17.1,15.1,17.3,14.3,16.8,16.5
"Seychelles",176,188,212,234,286,178,161,154,138,147,134,138,127,136,140,148,193,178,170,178,128,99.1,79.7,99.6,112,148,151
