Military expenditure by country, in local currency, 1988-2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Figures are in local currency at current prices and are for financial years. Countries are grouped by region and subregion.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All data are expressed in the most recent currency for each country.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Figures in blue are SIPRI estimates. Figures in red indicate highly uncertain data.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
""". ."" = data unavailable. ""xxx"" = country did not exist or was not independent during all or part of the year in question.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country                   ;Currency;Financial year start;Notes;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria                       ;b. dinars                     ;January;1;6.1;6.5;8.1;10.4;23.0;29.8;46.8;58.8;79.5;101;112;122;142;162;167;171;202;214;225;273;334;384;422;631;723;826;956
Libya                         ;m. dinars                     ;January;‡ ¶ 2;. .;. .;. .;. .;. .;. .;. .;. .;. .;577;675;535;556;496;575;700;894;904;807;807;1346;. .;. .;. .;3769;. .;4185
Morocco                       ;m. dirhams                    ;Special, see notes;3;7530;8408;8817;9999;10489;11640;12564;18420;12946;13748;14008;13694;9129;16619;16254;17418;17182;18006;18775;19730;22824;24615;26605;27042;29360;34173;34034
Tunisia                       ;m. dinars                     ;January;;200;222;218;241;256;277;301;324;387;396;417;424;456;483;491;525;554;608;662;629;713;763;818;1007;1064;1234;1539
Sub-Saharan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola                        ;th./b. kwanzas                   ;January;? 4;0.044;0.058;0.052;0.057;0.20;4.7;35.4;643;20452;104621;66889;3.0;5.9;8.9;19.1;50.0;68.3;119;158;156;237;263;322;342;396;588;673
Benin                         ;b. CFA francs                 ;January;;11.0;9.1;8.9;. .;. .;. .;. .;. .;. .;. .;. .;11;10.3;9.6;18.1;20.1;22.1;23.6;24.5;. .;29.0;. .;. .;. .;39.9;42.5;46.0
Botswana                      ;m. pula                       ;April;;182;216;316;359;381;473;452;462;469;625;812;775;998;1305;1451;1503;1464;1446;1642;1961;2372;2359;2372;2581;2527;2500;2802
Burkina Faso                  ;b. CFA francs                 ;January;† 5;17.0;21.3;23.0;19.6;18.8;17.1;16.8;18.4;19.0;22.5;23.3;25.7;26.1;27.0;29.6;29.5;34.7;39.0;38.0;51.7;55.1;60.1;61.5;65.7;74.3;80.7;81.9
Burundi                       ;b. francs                     ;January;‡ 6;4.8;6.0;6.8;7.8;8.1;8.8;10.6;10.5;15.4;21.8;26.3;28.5;30.5;44.2;41.8;47.0;49.4;53.6;46.0;50.1;52.0;. .;. .;. .;85.1;94.6;96.2
Cameroon                      ;b. CFA francs                 ;January;§;45.5;48.2;50.1;50.4;46.9;48.3;56.6;56.8;62.9;75.7;86.2;92.0;83.2;99.0;52.0;110;117;118;134;142;155;162;175;164;181;194;199
Cape Verde                    ;m. escudos                    ;January;;366;. .;. .;. .;242;220;281;477;352;382;443;518;814;572;530;565;573;614;614;640;646;667;690;710;719;790;902
Central African Rep.          ;m. CFA francs                 ;January;‡ 7;. .;. .;. .;6093;6137;5421;5935;6496;6239;. .;. .;. .;. .;. .;7445;8729;7979;8121;. .;9160;14111;16995;25549;. .;. .;. .;. .
Chad                          ;b. CFA francs                 ;January;;23.2;18;9.4;. .;9.4;11.1;12.3;10;12.7;9.7;9.5;12.9;15.2;19.2;23.9;23.8;26.7;29.3;117;187;274;349;305;288;. .;. .;. .
Congo                         ;m. CFA francs                 ;January;§;. .;. .;. .;. .;33250;31000;. .;. .;. .;. .;. .;. .;. .;39911;49280;54503;65665;53230;66182;80555;93020;. .;108164;. .;. .;181341;348510
Congo, Dem. Rep.              ;b. francs                     ;January;8;. .;. .;. .;. .;. .;. .;. .;. .;0.045;0.110;0.043;0.60;2.90;. .;. .;31.9;55;78.3;96.0;106;89.5;99.1;166;220;369;394;422
Côte d’Ivoire                 ;b. CFA francs              ;January;9;38.2;41.4;39.2;40.7;41.5;42.1;46.7;. .;52.5;54.6;. .;. .;. .;. .;. .;124;133;132;140;155;165;198;192;169;208;. .;. .
Djibouti                      ;m. francs                     ;January;;5520;5525;5530;5647;5976;5521;5458;5262;4359;4719;4746;4759;4625;4629;5909;7422;6639;7970;8800;6135;6447;. .;. .;. .;. .;. .;. .
Equatorial Guinea             ;m. CFA francs                 ;January;;;. .;. .;. .;. .;. .;1321;1721;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;94087;131097;175619;. .;. .;. .;. .;82.3
Eritrea                       ;m. nakfa                      ;January;? 10;xxx;xxx;xxx;xxx;xxx;539;439;771;968;634;1936;2225;2220;1884;2104;2520;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .
Ethiopia                      ;m. birr                       ;July;11;1494;1741;1509;681;750;889;737;772;835;2190;4336;6842;3307;2610;2341;2452;2920;3009;3005;3453;4000;4000;4750;6486;6493;7500;8000
Gabon                         ;b. CFA francs                 ;January;12;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;65.0;66.0;66.0;63.0;65.0;60.0;58.0;59.0;. .;. .;62.0;. .;128;126;. .
Gambia                        ;m. dalasis                    ;January;‡ 13;17.9;23.4;31.2;38.6;23.7;22.9;21.5;33.6;21.7;42.6;43.1;40.1;42.5;38.5;45.0;57.0;58.0;85.3;78.2;113;381;189;. .;. .;358;373;609
Ghana                         ;m. cedis                      ;January;? 14;0.50;0.60;0.90;1.5;1.8;2.7;3.6;5.9;7.3;9.3;13.3;15.8;27.7;23.2;29.3;46.2;50.7;58.2;69.4;118;120;167;175;354;606;498;543
Guinea                        ;b. francs                     ;January;15;;. .;. .;54.1;50.2;42.0;44.8;. .;. .;48.6;55.7;76.6;80.3;171;194;167;182;. .;. .;. .;. .;. .;. .;. .;1180;1330;1787
Guinea-Bissau                 ;m. CFA francs                 ;January;? 16;. .;123;. .;. .;. .;. .;400;615;770;1061;1711;. .;6786;4533;4435;4362;. .;6391;. .;. .;. .;6490;8484;8267;8465;. .;. .
Kenya                         ;m. shillings                  ;July;;4021;5385;5910;4648;5406;6856;6297;9039;10472;10182;10580;10788;14439;16258;17430;19921;21219;26652;27540;39062;41183;48247;50327;64537;77485;70743;73281
