"Country","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Algeria                       ",1029,854,904,565,1053,1277,1335,1235,1452,1752,1911,1826,1881,2092,2101,2206,2802,2925,3094,3946,5172,5281,5671,8652,9326,10405,11862
"Libya                         ",,,,,,,,,,1252,1444,1153,1086,820,453,541,685,691,614,639,1100,,,,2987,,3302
"Morocco                       ",917,991,1070,1148,1229,1252,1365,1438,1447,1401,1445,1180,859,1470,1475,1819,1938,2031,2135,2408,2945,3055,3161,3343,3403,4066,4050
"Tunisia                       ",233,234,248,260,290,276,297,343,397,358,366,357,332,336,345,407,445,468,497,491,579,565,571,715,681,759,906
"Angola                        ",1471,1939,1738,1035,795,1767,595,234,160,457,170,1067,584,404,439,670,818,1365,1970,2032,3164,3311,3501,3639,4145,6091,6842
"Benin                         ",36.9,28.5,32.8,,,,,,,,,17.8,14.5,13.1,26,34.5,41.8,44.7,46.8,,64.7,,,,78.2,86,93
"Botswana                      ",94,103,156,172,178,186,170,166,141,161,181,170,185,210,224,301,314,284,273,306,332,330,349,370,333,298,304
"Burkina Faso                  ",57,67,84,70,71,61,30,37,37,39,39,42,37,37,42.5,50.8,65.7,73.8,72.6,108,123,127,124,139,146,163,166
"Burundi                       ",34.3,37.9,39.6,42.8,39,36.3,41.9,42.1,50.9,61.9,58.7,50.6,42.3,53.2,44.9,43.4,44.9,49.6,44.7,46.3,43.9,,,,59,60.9,62.2
"Cameroon                      ",154,147,181,178,184,168,95,114,117,119,137,145,123,124,146,188,221,223,257,297,347,343,354,347,354,393,401
"Cape Verde                    ",5.1,,,,3.6,2.7,3.4,6.2,4.3,4.1,4.5,5,6.8,4.6,4.5,5.8,6.5,6.9,7,7.9,8.6,8.4,8.3,8.9,8.4,9.5,10.8
"Central African Rep.          ",,,,21.6,23.2,19.1,10.7,13,12.2,,,,,,10.7,15,15.1,15.4,,19.1,31.5,36,51.6,,,,
"Chad                          ",77.9,56.4,34.3,,35.3,39.2,22.2,20,24.8,16.6,16.1,21,21.3,26.2,34.3,40.9,50.5,55.5,223,389,611,739,616,610,,,
"Congo                         ",,,,,126,109,,,,,,,,54,70.7,93.8,124,101,127,168,208,,218,,,367,705
"Congo, Dem. Rep.              ",,,,,,,,,89.3,83.8,26.6,149.3,132.9,,,78.7,137.6,165.2,205.1,205,160,122.4,184,239,401,429,456
"Côte d’Ivoire                 ",128,130,144,144,157,149,84,,103,94,,,,,,213,251,250,267,324,369,420,388,357,407,,
"Djibouti                      ",31,31,31,31.8,33.6,31.1,30.7,29.6,24.5,26.6,26.7,26.8,26,26,33.3,41.8,37.4,44.8,49.5,34.5,36.3,,,,,,
"Equatorial Guinea             ",,,,,,,2,3,,,,,,,,,,,,196,293,372,,,,,167
"Eritrea                       ",,,,,,107.7,80.2,125,152.3,92.8,263,272.9,230.7,166.6,151,182,,,,,,,,,,,
"Ethiopia                      ",615,782,785,529,255,164,149,122,126,225,459,704,618,350,289,279,311,342,346,360,388,340,304,332,367,345,394
"Gabon                         ",,,,,,,,,,,,,91,90,94.7,108.4,123,113.8,110.9,123.1,,,125.2,,251,254,
"Gambia                        ",2.2,2.7,3.5,4,3.5,2.6,2.3,2.9,3.9,4.2,4,3.5,3.3,2.5,2.3,2,1.9,3,2.8,4.5,17.2,7.1,,,11.2,10.4,14.1
"Ghana                         ",22.7,22.6,27.6,41.4,41.7,41,37.8,49.1,44.4,45.5,57.5,59.3,50.9,32.4,37,53.2,56.4,64.2,75.7,126,114,118,122,234,337,255,181
"Guinea                        ",,,,71.8,55.7,44,45.9,,,44.4,45,55.2,46,88,98.1,84.1,81,,,,,,,,169,193,255
"Guinea-Bissau                 ",,4.4,,,,,2,2.2,1.9,1.8,2.9,,9.5,6.2,6.4,7.5,,12.1,,,,13.7,17.1,17.5,16.6,,
"Kenya                         ",251,229,246,192,156,106,117,149,171,176,172,152,166,195,214,246,260,317,376,495,580,578,622,647,840,861,819
"Lesotho                       ",19.4,25.9,27.6,25.8,24.1,21.8,25.9,34,28,29,28,34,31,23,19.6,27.4,31.4,33.6,35.2,39.8,27.4,47.4,70.7,58.2,53.2,47.9,47.7
"Liberia                       ",25,,14.1,25,22.6,30.4,39.3,,,,,,,,,,3.2,8,3.9,3.5,3.9,7.2,8.5,13.3,14.6,15.3,15.6
"Madagascar                    ",32.9,30.2,37.9,34.7,23.1,37.8,27.6,27.2,49.4,52.5,50.4,45,47.2,65,57.7,72.5,54.5,54,53.9,82,103,71,56.9,72,68.6,74,72.1
"Malawi                        ",20.2,22.8,24.3,23.7,25.2,25.7,17.1,11,20.2,26.4,14.5,14.4,11.7,12.7,14.8,13.1,22,38.2,31.1,33.6,44.5,58.8,50,52.8,49.5,68.6,51.9
"Mali                          ",48,46.1,52.2,,,44.5,29.9,40.5,39.7,40.3,41,43.9,43.7,44.9,49.4,66.8,77.4,86.5,96,110,143,144,147,161,149,154,170
"Mauritania                    ",43,38.9,40.2,39.4,39.4,30.2,29.5,32,37.9,41.6,25.6,32,37.9,51.9,36.3,62.4,,66.7,81.9,,123,115,,,142,144,150
"Mauritius                     ",4.7,6.3,9,10,11,11,12,13,13,10,8,9,9,9,9.5,10.9,10.9,10.9,10.8,11.6,15.6,15.3,14.9,17.5,16.7,23.2,32.9
"Mozambique                    ",63.9,79.1,84.6,71.8,59.6,59.4,72.9,33.5,36,42,49.3,56.5,55.4,50.6,53.5,59.8,77.6,62.2,57.4,68.6,83.7,84.3,99.2,119,139,158,174
"Namibia                       ",,,198,145,125,70.2,57,68.2,66.5,83.7,78.9,106,92.4,96.8,88,129,167,192,200,228,266,300,397,444,412,396,548
"Niger                         ",,,,,,,17.5,18.4,17.4,17.3,22,23.6,20.1,24.8,20.7,24.6,31.6,32.8,,,53.6,53,66.9,83.9,69.8,,
"Nigeria                       ",271,171,277,244,174,289,320,639,701,819,1150,492,369,571,896.9,587.5,640,674.2,776.2,971,1616,1504,1990,2385,2316,2419,2265
"Rwanda                        ",36.6,41.6,95.1,105.3,88.6,89.4,40.5,56.4,73.7,77.3,87.1,80.9,61.3,56.9,51.1,45.2,41.2,45,54.6,55.6,67.7,75.3,74.5,75.4,79.8,82.5,85.9
"Senegal                       ",99,96,115,106,110,120,66.1,80.9,79.8,70.8,75.1,78.3,62.4,68.9,74.4,96.9,108,124,149,193,217,215,196,230,197,237,240
"Seychelles                    ",12.1,13,14.8,16.6,20.5,12.9,11.9,11.6,10.5,11.4,10.5,11.1,10.3,11.1,11.7,12.2,15.9,14.7,14.4,15.2,11.1,8.7,7.2,8.7,9.9,13.2,15.1
"Sierra Leone                  ",7.1,9.6,9,16.2,20.2,23.3,26.5,25,18.6,9.5,,,23.3,29.9,27.1,28.5,23,23.6,28,29.1,23.6,26.4,25.1,25.5,27.5,30.3,39
"Somalia                       ",46.5,8.6,,,,,,,,,,,,,,,,,,,,,,,,,
"South Africa                  ",4263,4182,4364,3874,3677,3254,3479,3292,2592,2414,1906,1738,1892,1802,1766,2574,3099,3567,3506,3526,3286,3593,4188,4594,4490,4135,3895
"South Sudan",,,,,,,,,,,,,,,,,,,551,588,896,610,651,1053,988,982,1083
"Sudan                         ",369,,867,992,133,188,165,195,106,97.7,260,430,587,388,485,398,1241,1165,1537,,,,,,,,
"Swaziland                     ",8.7,9.6,14.5,16,21,23.7,25.8,28.8,26.5,25.7,25.7,25.9,24.5,19.7,18.3,31.9,42.7,59.5,58.5,61.9,66.7,75.9,102,107,92.4,86.8,80.6
"Tanzania                      ",71,105,87.2,108,96.9,58.7,58.4,85.5,101,119,134,128,135,151,141,125,128,139,147,166,194,219,283,307,360,408,460
"Togo                          ",43.1,41.9,50.7,45.9,49.1,50.1,25.4,30.9,,,,,,,,28.8,31.7,33.2,,,57,,56.8,59,,,
"Uganda                        ",142,140,107,73.6,52.3,62.6,104,127,135,140,155,160,141,136,142,152,196,217,219,252,312,294,609,607,352,308,322
"Zambia                        ",87,168,139,86.2,97.8,51.1,62.9,55.3,37.8,43.4,,56.1,,,,,98.3,140,206,232,278,221,280,309,346,381,443
"Zimbabwe",407,409,416,376,296,250,248,263,292,311,,263,346,287,677,195,256,131,162,,,,98.3,198,318,357,368
"Belize                        ",,4.4,4.8,4.7,5.3,6.1,7.9,8.1,8,9.4,,6,7.1,7.5,7.8,8.6,9.5,10.7,12.3,13.8,18.7,17.3,15.3,15.4,15.1,16.7,17.6
"Cuba                          ",,,,,,,,,,,,,,,,297,62,78.6,76.6,83.4,89.1,92.5,94.3,98.9,127,119,
"Dominican Rep.                ",47.3,53.5,47.8,33.9,63.1,96,101,84.5,107,151,159,175,247,306,272,156,153,272,259,275,334,321,355,349,362,371,399
"El Salvador                   ",213,240,202,187,179,166,159,161,161,162,161,164,169,191,204,166,162,170,185,200,209,215,226,256,273,266,263
"Guatemala                     ",125,129,113,102,131,123,140,145,130,132,140,124,158,197,158,179,115,104,131,136,166,147,170,197,224,250,264
"Haiti                         ",2,2.2,2.7,2.6,1.7,1.6,1.6,2.5,,,,,,,,,,,,,,,,,,,
"Honduras                      ",,,,,,,,,,,,,52.5,63,63.6,82.2,60.6,62.6,75.6,95.9,132,157,170,200,186,229,254
"Jamaica                       ",,23.5,27.5,22.7,33.6,31.7,24.3,33.7,42.8,55.1,47.6,45.1,43.6,46.4,56.9,54.8,54.5,59.3,72.6,84,131,115,116,134,138,128,120
"Mexico                        ",982,1153,1327,1600,2000,2327,2889,1713,2064,2394,2481,2908,3323,3540,3480,3245,3129,3622,4082,4780,4940,4856,5897,6471,6979,7838,8660
"Nicaragua                     ",,,1142,67.7,47.2,40.2,35.4,35.1,31.5,30.3,26.3,26.9,30.8,28.2,34.8,35.3,32.6,34.1,37.3,39.5,42.7,41.7,44.3,51.5,70.1,85.1,82.9
"Panama                        ",103,102,73.1,78.6,78.8,95.2,101,96.6,101,118,104,112,,,,,,,,,,,,,,,
"Trinidad & Tobago",,,,,6.8,22.6,24.2,,,,,,3,13.9,19.5,33.7,75.9,97.8,116,125,139,139,143,146,169,218,220
"Canada                        ",9897,10747,11415,11339,10789,10269,9577,9177,8616,7945,7749,8211,8299,8376,8495,9958,11336,12988,14810,17417,19342,18936,19316,20483,20375,18464,17452
"USA                           ",293093,304085,306170,280292,305141,297637,288059,278856,271417,276325,274278,280969,301697,312743,356720,415223,464676,503353,527660,556961,621131,668567,698180,711338,684780,639704,609914
"Argentina                     ",2541,1360,1933,2694,3067,3173,3755,3802,3379,3341,3399,3462,3267,3184,1114,1375,1466,1700,1848,2296,2789,2982,3475,4052,4563,5138,4347
"Bolivia                       ",,102,137,144,142,110,135,141,147,181,229,177,174,185,161,174,169,170,180,222,328,346,328,351,396,445,487
"Brazil                        ",5901,8725,9236,6695,4994,7100,10592,14319,14073,13934,14357,9867,11344,10930,9665,8393,9780,13589,16405,20486,24453,25649,34003,36936,33987,32958,31744
"Chile                         ",1029,978,1031,1038,1169,1291,1466,1828,1904,2121,2112,2043,2103,1893,1780,1828,2492,3001,3730,3958,4546,3760,4707,5440,5476,5381,5149
"Colombia                      ",799,881,890,911,1102,1529,2005,2619,4319,2989,3390,3247,3028,3264,3348,3278,4057,4914,5327,6776,9051,9033,10422,10307,11706,13001,13054
